name;simulation-bidirect-runtime;simulation-bidirect-parsing;simulation-bidirect-reduction;simulation-bidirect-states;simulation-bidirect-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.32; 0.2594; 0.0655; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.11; 0.0909292; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.32; 0.258648; 0.0663; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.11; 0.0912655; 0.0233; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0262289; 0.0036; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.11; 0.0907206; 0.0237; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.32; 0.257833; 0.0654; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.11; 0.0907693; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00119902; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.11; 0.0904239; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00146291; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.12; 0.0919183; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;1.81; 0.680291; 1.1400; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.11; 0.0899367; 0.0233; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;1.83; 0.68571; 1.1446; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.11; 0.0899103; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.09; 0.0713413; 0.0160; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.11; 0.0901274; 0.0236; 5; 5
