name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat-aut2.mata;0.02; 0.0223779; 0.0018; 7; 6
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat2-aut1.mata;0.01; 0.0144909; 0.0016; 5; 8
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat2-aut2.mata;0.02; 0.0218401; 0.0018; 7; 6
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat2-aut4.mata;0.0; 0.000866413; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat_9-aut1.mata;0.01; 0.0145292; 0.0016; 5; 8
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat_9-aut2.mata;0.02; 0.0218995; 0.0018; 7; 6
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat_9-aut4.mata;0.0; 0.00348606; 0.0005; 10; 9
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat_ignorecase-aut1.mata;0.05; 0.052585; 0.0027; 3; 5
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-contains_month_weekday_sat_ignorecase-aut2.mata;0.08; 0.0770296; 0.0045; 3; 6
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut1.mata;0.0; 0.00600176; 0.0012; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut11.mata;0.0; 0.00329875; 0.0004; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut13.mata;0.0; 0.000179552; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut17.mata;0.0; 0.000998024; 0.0005; 5; 5
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut18.mata;0.0; 0.000984794; 0.0005; 5; 5
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut2.mata;0.02; 0.0187559; 0.0009; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut21.mata;0.0; 0.00631067; 0.0005; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut22.mata;0.0; 0.000488283; 0.0003; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut23.mata;0.0; 0.000708393; 0.0003; 3; 3
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut26.mata;0.0; 0.0063876; 0.0005; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut28.mata;0.0; 0.000173331; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut4.mata;0.0; 0.000708393; 0.0003; 3; 3
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut5.mata;0.0; 0.000482732; 0.0002; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut8.mata;0.0; 0.00329948; 0.0005; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date1_sat-aut9.mata;0.0; 0.000470141; 0.0003; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut1.mata;0.0; 0.00595961; 0.0012; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut11.mata;0.0; 0.00327309; 0.0005; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut13.mata;0.0; 0.000177251; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut17.mata;0.0; 0.000978505; 0.0005; 5; 5
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut18.mata;0.0; 0.00114245; 0.0005; 5; 5
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut2.mata;0.01; 0.0186194; 0.0009; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut21.mata;0.0; 0.00645385; 0.0006; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut22.mata;0.0; 0.000471072; 0.0003; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut23.mata;0.0; 0.000711923; 0.0003; 3; 3
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut26.mata;0.0; 0.00635014; 0.0005; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut28.mata;0.0; 0.000170251; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut32.mata;0.0; 0.000690122; 0.0003; 3; 3
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut33.mata;0.0; 0.00010797; 0.0001; 1; 0
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut35.mata;0.0; 0.000718303; 0.0003; 3; 3
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut37.mata;0.0; 0.000177512; 0.0002; 1; 1
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut4.mata;0.0; 0.000707123; 0.0003; 3; 3
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut5.mata;0.0; 0.000468232; 0.0003; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut8.mata;0.0; 0.00328065; 0.0005; 3; 4
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date2_sat-aut9.mata;0.0; 0.000465002; 0.0003; 2; 2
automata/nfa-bench/benchmarks/bool_comb/ere/date-sat-date_format_days-aut1.mata;0.0; 0.00618295; 0.0010; 6; 4
