name;brzozowski-runtime;brzozowski-parsing;brzozowski-reduction;brzozowski-states;brzozowski-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.09; 0.0869164; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00139068; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.08; 0.0872642; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;0.67; 0.655598; 0.0221; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.09; 0.0875007; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;0.67; 0.657263; 0.0271; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.08; 0.0870654; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.06; 0.0687314; 0.0018; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.09; 0.0874958; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.08; 0.0860188; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.08; 0.0870777; 0.0024; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;1.63; 1.59931; 0.0425; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00115182; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;1.62; 1.55692; 0.0412; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.02; 0.0253995; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;1.63; 1.56225; 0.0411; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.09; 0.0876833; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;1.58; 1.5573; 0.0414; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.02; 0.0257305; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;1.62; 1.59686; 0.0424; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000525582; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;1.6; 1.55942; 0.0414; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.08; 0.0871086; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;1.6; 1.57399; 0.0412; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.09; 0.0870286; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;1.62; 1.55587; 0.0415; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.09; 0.0873095; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;1.62; 1.58959; 0.0423; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00241853; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;1.61; 1.56108; 0.0411; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0252773; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;1.59; 1.55816; 0.0414; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00115627; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;1.59; 1.55452; 0.0412; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00144646; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;1.61; 1.59449; 0.0419; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.69; 0.659495; 0.0218; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;1.59; 1.55696; 0.0415; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.66; 0.658127; 0.0269; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;1.58; 1.55623; 0.0414; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000530583; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;1.61; 1.5568; 0.0412; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00198022; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;1.63; 1.58973; 0.0422; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000539253; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;1.62; 1.56274; 0.0414; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00600517; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;1.61; 1.56261; 0.0412; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00195282; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;1.6; 1.55949; 0.0415; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00639819; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;1.58; 1.5779; 0.0424; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.02; 0.0256527; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;1.62; 1.56946; 0.0416; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.0060453; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;1.61; 1.55568; 0.0414; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.07; 0.0689457; 0.0018; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;1.58; 1.56149; 0.0412; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.02; 0.0261604; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;1.61; 1.58048; 0.0420; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.09; 0.085033; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.35; 1.30664; 0.0342; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.43; 1.40464; 0.0367; 5; 5
