name;residual-runtime;residual-parsing;residual-reduction;residual-states;residual-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;1.62; 1.56687; 0.0435; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.08; 0.0870611; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;1.63; 1.56987; 0.0436; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00242906; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;1.61; 1.57187; 0.0438; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0262688; 0.0009; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;1.57; 1.56649; 0.0435; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00117735; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;1.61; 1.56659; 0.0436; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.0014173; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;1.59; 1.56667; 0.0435; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.69; 0.660431; 0.0231; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;1.59; 1.56686; 0.0433; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.68; 0.661598; 0.0284; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;1.62; 1.5637; 0.0435; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000554283; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;1.62; 1.58213; 0.0437; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00197574; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;1.62; 1.56577; 0.0435; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000537193; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;1.61; 1.56832; 0.0433; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.006016; 0.0004; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;1.59; 1.56089; 0.0435; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.0019841; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;1.61; 1.57586; 0.0438; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00605196; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;1.61; 1.56946; 0.0432; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.02; 0.0261675; 0.0009; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;1.59; 1.56792; 0.0433; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00598583; 0.0004; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;1.64; 1.56719; 0.0433; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.07; 0.0689788; 0.0019; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;1.62; 1.57944; 0.0438; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.02; 0.0255942; 0.0009; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;1.63; 1.57188; 0.0434; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.09; 0.0868021; 0.0025; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.34; 1.31698; 0.0357; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.45; 1.41052; 0.0385; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;1.4; 1.38129; 0.0370; 5; 5
