name;simulation-runtime;simulation-parsing;simulation-reduction;simulation-states;simulation-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.1; 0.0894143; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;3.47; 1.57632; 1.9140; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.03; 0.0260876; 0.0020; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;3.5; 1.58302; 1.9127; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000531043; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;3.51; 1.59282; 1.9193; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.1; 0.0890971; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;3.5; 1.58413; 1.9189; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.1; 0.0899523; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;3.49; 1.59519; 1.9159; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.1; 0.088868; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;3.5; 1.58685; 1.9190; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00252825; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;3.55; 1.59767; 1.9437; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0257736; 0.0018; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;3.51; 1.58791; 1.9131; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00118376; 0.0001; 4; 4
