name;hopcroft-runtime;hopcroft-parsing;hopcroft-reduction;hopcroft-states;hopcroft-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0251023; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;1.58; 1.55274; 0.0526; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.0012105; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;1.61; 1.55474; 0.0528; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00141162; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;1.59; 1.55072; 0.0536; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.67; 0.649963; 0.0161; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;1.6; 1.55008; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.64; 0.65185; 0.0163; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;1.6; 1.5531; 0.0527; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000547942; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;1.6; 1.54851; 0.0530; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00194263; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;1.61; 1.54954; 0.0530; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000573182; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;1.6; 1.54661; 0.0528; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00596516; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;1.6; 1.54834; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.0019791; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;1.62; 1.55505; 0.0533; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00614296; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;1.56; 1.54653; 0.0529; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.02; 0.0252077; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;1.61; 1.54763; 0.0530; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00595818; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;1.61; 1.55626; 0.0531; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.06; 0.0683919; 0.0010; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;1.63; 1.56396; 0.0528; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.02; 0.0263401; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;1.6; 1.55269; 0.0531; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.09; 0.0842429; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.34; 1.30128; 0.0462; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.46; 1.40232; 0.0482; 5; 5
