name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.1; 0.0849901; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.24; 0.192579; 0.0509; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.1; 0.0849796; 0.0233; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.23; 0.179632; 0.0537; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.1; 0.0849059; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.27; 0.212118; 0.0573; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.1; 0.0847421; 0.0233; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.21; 0.179593; 0.0537; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.1; 0.085156; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00239756; 0.0007; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.1; 0.0852882; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.3; 0.242862; 0.0651; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.1; 0.0848325; 0.0233; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.26; 0.212079; 0.0571; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.1; 0.085221; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.29; 0.243657; 0.0645; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.11; 0.085499; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.3; 0.245918; 0.0641; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.1; 0.0851068; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.31; 0.245619; 0.0649; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.11; 0.085181; 0.0287; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.03; 0.0252611; 0.0040; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.1; 0.0849965; 0.0233; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.3; 0.245104; 0.0640; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.11; 0.0858489; 0.0234; 5; 5
